udi,air_temp_k,process_temp_k,rotational_speed_rpm,torque_nm
6940,300.7,311.3,1348,53
505,297.6,309.3,1529,41.9
8303,298.7,310.1,1641,31.1
4006,302,311.1,1406,48.8
8717,297.1,308.6,1717,31.3
8215,299.2,310.5,1391,45.8
8786,297.5,308.6,1694,27.1
8080,300.2,311.5,1528,36.1
8564,298,308.9,1500,36.7
5261,303.5,313,1492,46.1
8120,300.3,311.7,1333,55.2
4174,302.2,310.6,1346,49.2
7906,300.8,312.4,1465,43.7
3200,300.1,309.1,1560,35.4
5811,301.3,311,1856,21.9
5202,303.7,312.7,1396,47.3
4084,302,310.4,1567,36.4
6504,300.9,309.9,1465,42.9
8084,300.1,311.4,1438,42.2
1866,297.9,307.7,1567,34.7
2128,299.3,309,1425,40.6
6454,300.7,310.2,1807,24.2
1912,298.1,307.8,1316,57.2
3217,300.5,309.5,1653,27.6
5968,300.4,310.8,1390,52.5
5934,300.5,310.5,1373,47.4
8077,300.3,311.8,1360,48
1497,298,308.7,1268,69.4
7961,301.1,312.2,1491,42.6
6232,301.3,311,1495,40.8
557,297.5,309.4,1357,50.1
4637,303,311.3,1466,43
1986,298.1,307.7,1537,40.8
1223,297,308.3,1399,59
4613,303,311.3,2194,16.5
3846,302.3,311,1591,32.7
3299,301.2,310.3,1499,38.1
2517,298.8,308.5,1736,29
7929,300.6,311.7,1497,43.6
7652,300.4,311.5,1476,32.6
6801,301.1,310.6,1310,48.8
5328,303.5,312.7,2116,16.7
7113,300.9,310.4,1427,47
2424,298.9,308.2,2022,20
7252,300.2,310.3,1448,40.1
4675,303.4,311.5,1414,44.8
6914,300.8,311.2,1481,38.5
2403,299.2,308.7,1325,51
8289,298.8,310.6,1640,33.8
2344,299.1,308.3,1305,61.4
3758,302.2,311.1,1516,33.7
4764,303.7,312.1,1443,45.9
5663,302.2,311.5,1616,34
8119,300.3,311.8,1548,33
4608,303,311.1,1980,20.2
4758,303.4,311.6,1497,42.8
4544,302.6,310.5,1542,39.9
3663,302.3,311.7,1517,37.6
1606,297.8,307.8,1396,42.5
1517,298.2,308.9,1278,54
274,298.1,308,1426,46
4499,302.6,310.4,1614,36
8556,298.2,309,1596,37.2
2202,299.8,309,1567,36.1
6807,301.1,310.8,1608,32.9
4534,302.4,310.3,1375,52.5
6401,300.1,309.7,1601,35.8
264,298,308.1,1587,32.3
94,299.1,309,1450,43
2338,299.2,308.4,1877,23.9
2482,299,308.6,1378,47.8
6158,301.1,311.2,1774,29.6
5474,302.7,312.2,1369,51.8
6223,301.1,310.8,1792,25.8
2895,300.7,309.6,1733,24.8
2137,299.2,308.9,1588,41.5
7761,300.4,311.7,1511,33
8779,297.5,308.7,1454,45
1579,298.3,308.4,1593,37
2810,299.9,309.2,1598,34.6
4083,302,310.4,1568,39.2
3465,301.7,310.6,1303,59.7
494,297.5,309.3,1470,38.8
1136,296.9,307.9,1535,39.2
1929,298,307.8,1623,29.9
1750,298.3,307.7,1576,33.8
2078,299.4,309.4,1701,31.2
7087,300.6,310.4,2514,13.4
5741,302.3,311.7,1535,38.3
7702,300.8,311.7,1468,38.7
6996,300.6,310.7,1705,31.2
7361,299.5,310.1,1585,35.2
7260,300.4,310.5,1500,43
7668,300.6,311.7,1528,43.9
7790,300.2,311.5,1495,38.5
1339,298.6,310.1,1721,27.2
5854,301.2,311,1567,35.1
6673,301.6,310.7,1424,50.5
2615,299.3,309.1,1634,36.8
7530,300.1,311.4,1467,35.7
2618,299.4,309.1,1670,35.9
1541,298.4,309.1,1525,39.3
3893,302.3,311.1,1338,53.3
7756,300.4,311.8,1362,47.6
185,298.2,308.2,1667,30.6
7874,300.7,312.4,1470,38.6
6227,301.3,311,1341,59.3
3765,302.4,311,1329,54.6
8575,297.6,308.3,1424,53.9
749,296.7,308.1,1528,46.3
8220,299,310.4,1504,34.3
8768,297.5,308.6,1380,53.5
2484,298.9,308.7,1402,49.8
8356,298.7,309.6,1502,46.7
3579,301.7,310.5,1625,35.9
776,296.7,307.8,1453,46
717,297.4,308.6,1420,45.8
3245,301,309.6,1397,48
2064,299.7,309.6,1321,53.4
4664,303.3,311.3,1389,53.9
2349,299.2,308.4,1436,41.8
1310,298.9,310.2,1654,31.1
6973,300.7,311,1377,49.9
1619,297.9,307.8,1286,59.5
6274,301.2,310.8,1711,28.9
448,297.6,308.7,1376,59.9
2666,299.8,309.4,2256,15.9
552,297.4,309.2,1274,54.3
196,298.3,308.5,1453,42.9
5770,301.7,311.3,1348,51
1893,297.8,307.4,1438,43.6
7691,300.5,311.6,1577,36.5
4609,303,311.2,1519,38
8212,299.2,310.6,1675,33.3
3383,301.3,310.6,1510,38.5
2828,300.4,309.4,1412,51.6
4381,301.9,309.6,1410,49
8219,299.1,310.5,1485,37.8
6435,300.3,309.9,1494,38.5
8521,298.3,309.5,1543,49.9
4568,302.8,310.8,1451,44.7
4462,302.7,310.5,1642,30.8
6894,301,311.6,1470,43.4
5612,303,312.3,1674,29.5
2913,300.7,309.6,1661,30.3
4661,303.2,311.2,1439,43.9
2299,299.3,308.6,1482,37.6
2636,299.9,309.6,1462,51
5348,303.3,312.7,1262,63.8
5219,303.8,312.9,1589,37.2
6345,300.2,309.8,1374,47.7
5653,302.4,311.8,1727,26.5
3800,302.2,310.9,1506,34
917,295.3,305.8,1589,36.2
8239,299.1,310.4,1519,45.3
436,297.4,308.3,1493,41.2
5319,303.5,312.6,1496,39
7532,300.1,311.4,1377,56.7
3568,301.8,310.5,1548,34.1
2934,300.8,309.7,1751,27.9
5908,300.8,310.4,1419,46.4
5500,302.9,312.3,1417,48.7
8581,297.5,308.1,1631,30.6
5887,301.4,311.1,1494,41.9
1183,297.3,308.3,1410,48.1
2295,299.4,308.8,1627,32.6
6408,300.3,309.9,1611,29
1284,298.3,309.4,1356,45.4
6660,301.3,310.3,1626,31.3
6328,300.6,310,1425,49.5
7158,300.2,310,1486,40.1
206,298.5,308.6,1344,53
6586,301.5,310.5,1600,32.8
8843,297.3,308.7,1492,43.6
2815,300,309.3,1395,56.5
361,297.5,308.3,1521,38.2
5654,302.4,311.7,1495,36.8
2072,299.7,309.6,1313,60
8260,299.1,310.5,1471,38.4
4628,303,311.2,1592,38.9
1302,298.7,309.9,1483,32.8
2324,299.2,308.7,1401,47
5164,304.2,313.4,1713,23.5
4650,303.3,311.4,1395,59.1
8672,297.5,308.8,1530,37.8
1639,297.9,307.8,1397,45
6344,300.2,309.8,1827,23
7138,300.6,310,1486,41.2
8562,298.2,308.9,1332,44.4
1075,297,307.9,1595,31.7
248,298,308.2,1469,45.5
8823,297.4,308.8,1462,49.7
